,county,state,total_pop,white_male_pop,white_female_pop,racial_min_pop
1613,Lawrence County,Pennsylvania,1022376,461346,483466,77564
1614,Lawrence County,South Dakota,323886,152284,148848,22754
1615,Lawrence County,Tennessee,542154,254332,261420,26402
1616,Le Flore County,Oklahoma,586790,222030,221056,143704
1617,Le Sueur County,Minnesota,348480,171260,164038,13182
1618,Lea County,New Mexico,886248,416102,391368,78778
1619,Leake County,Mississippi,255740,64438,65344,125958
1620,Leavenworth County,Kansas,995018,440994,403222,150802
1621,Lebanon County,Pennsylvania,1728388,780142,804316,143930
1622,Lee County,Alabama,2160022,762792,760522,636708
1623,Lee County,Arkansas,100780,26150,17274,57356
1624,Lee County,Florida,9698306,4120428,4246648,1331230
1625,Lee County,Georgia,402574,142272,140772,119530
1626,Lee County,Illinois,406988,190526,180994,35468
1627,Lee County,Iowa,396040,185126,185918,24996
1628,Lee County,Kentucky,88160,46610,37162,4388
1629,Lee County,Mississippi,997036,319048,337222,340766
1630,Lee County,North Carolina,784728,291314,295704,197710
1631,Lee County,South Carolina,194726,34254,33460,127012
1632,Lee County,Texas,214670,93030,92116,29524
1633,Lee County,Virginia,263342,125538,121162,16642
1634,Leelanau County,Michigan,271936,126618,127638,17680
1635,Leflore County,Mississippi,328400,37118,38476,252806
1636,Lehigh County,Pennsylvania,4537026,1797646,1862782,876598
1637,Lemhi County,Idaho,98442,48228,45970,4244
1638,Lenawee County,Michigan,1182974,555268,553364,74342
1639,Lenoir County,North Carolina,659444,178460,184016,296968
1640,Leon County,Florida,3559836,1053894,1119028,1386914
1641,Leon County,Texas,194152,86970,86430,20752
1642,Leslie County,Kentucky,121816,59894,59346,2576
1643,Letcher County,Kentucky,251184,121484,124472,5228
1644,Levy County,Florida,539736,230694,236244,72798
1645,Lewis County,Idaho,43862,19354,18860,5648
1646,Lewis County,Kentucky,155818,76568,76028,3222
1647,Lewis County,Missouri,119310,56052,55674,7584
1648,Lewis County,New York,319232,157558,151940,9734
1649,Lewis County,Tennessee,155088,71758,74838,8492
1650,Lewis County,Washington,1015846,466658,462120,87068
1651,Lewis County,West Virginia,201456,98116,97848,5492
1652,Lewis and Clark County,Montana,876578,408842,412668,55068
1653,Lexington County,South Carolina,3636694,1396416,1447662,792616
1654,Lexington city,Virginia,89870,37374,39114,13382
1655,Liberty County,Florida,92828,40826,31312,20690
1656,Liberty County,Georgia,804534,198754,175154,430626
1657,Liberty County,Montana,23440,10988,11328,1124
1658,Liberty County,Texas,1217116,526672,528268,162176
1659,Licking County,Ohio,2175402,953580,976836,244986
1660,Limestone County,Alabama,1319452,529594,526954,262904
1661,Limestone County,Texas,267140,105842,102882,58416
1662,Lincoln County,Arkansas,155372,60986,42744,51642
1663,Lincoln County,Colorado,66846,33398,26034,7414
1664,Lincoln County,Georgia,93918,32672,32536,28710
1665,Lincoln County,Idaho,63838,30974,28860,4004
1666,Lincoln County,Kansas,35102,17068,16688,1346
1667,Lincoln County,Kentucky,293588,138374,141732,13482
1668,Lincoln County,Maine,431466,204820,211152,15494
1669,Lincoln County,Minnesota,67342,33304,32000,2038
1670,Lincoln County,Mississippi,418610,140024,144778,133808
1671,Lincoln County,Missouri,749728,358452,351982,39294
1672,Lincoln County,Montana,251114,120878,116424,13812
1673,Lincoln County,Nebraska,407370,191794,193608,21968
1674,Lincoln County,Nevada,53050,25202,22610,5238
1675,Lincoln County,New Mexico,242760,108960,112830,20970
1676,Lincoln County,North Carolina,1100788,496810,499648,104330
1677,Lincoln County,Oklahoma,409116,171558,170942,66616
1678,Lincoln County,Oregon,610444,262832,280744,66868
1679,Lincoln County,South Dakota,836696,387906,391414,57376
1680,Lincoln County,Tennessee,430112,188642,193440,48030
1681,Lincoln County,Washington,136642,65442,61746,9454
1682,Lincoln County,West Virginia,239926,117160,117582,5184
1683,Lincoln County,Wisconsin,341088,166254,161756,13078
1684,Lincoln County,Wyoming,244024,120240,113410,10374
1685,Lincoln Parish,Louisiana,578532,163906,160398,254228
1686,Linn County,Iowa,2760642,1184122,1218040,358480
1687,Linn County,Kansas,116856,56666,54526,5664
1688,Linn County,Missouri,142268,67278,70126,4864
1689,Linn County,Oregon,1564274,714868,721706,127700
1690,Lipscomb County,Texas,35300,16576,15426,3298
1691,Little River County,Arkansas,142250,52398,54428,35424
1692,Live Oak County,Texas,138858,67098,55804,15956
1693,Livingston County,Illinois,427344,199920,198462,28962
1694,Livingston County,Kentucky,106812,50794,51918,4100
1695,Livingston County,Michigan,2346080,1138372,1119276,88432
1696,Livingston County,Missouri,172748,74852,87136,10760
1697,Livingston County,New York,738648,344192,349836,44620
1698,Livingston Parish,Louisiana,1765728,767802,781530,216396
1699,Llano County,Texas,266792,123534,130484,12774
1700,Logan County,Arkansas,255040,117540,120432,17068
1701,Logan County,Colorado,251980,126252,103628,22100
1702,Logan County,Illinois,333100,148114,150006,34980
1703,Logan County,Kansas,32590,15872,15012,1706
1704,Logan County,Kentucky,334718,150650,152966,31102
1705,Logan County,Nebraska,8346,4154,3886,306
1706,Logan County,North Dakota,22448,11192,10208,1048
1707,Logan County,Ohio,553186,260614,260778,31794
1708,Logan County,Oklahoma,618490,257934,254140,106416
1709,Logan County,West Virginia,379324,181418,185772,12134
1710,Long County,Georgia,216038,69596,68500,77942
1711,Lonoke County,Arkansas,900768,398126,403342,99300
1712,Lorain County,Ohio,3797250,1603080,1648510,545660
1713,Los Alamos County,New Mexico,233190,105330,97124,30736
1714,Los Angeles County,California,118121474,41418662,40981058,35721754
1715,Loudon County,Tennessee,695584,326364,334834,34386
1716,Loudoun County,Virginia,5171892,1682610,1664002,1825280
1717,Louisa County,Iowa,128454,60206,58800,9448
1718,Louisa County,Virginia,474962,192370,192704,89888
1719,Loup County,Nebraska,7152,3620,3378,154
1720,Love County,Oklahoma,122902,51122,51108,20672
1721,Loving County,Texas,658,418,184,56
1722,Lower Connecticut River Valley Planning Region,Connecticut,2106668,910524,935002,261142
1723,Lowndes County,Alabama,118968,15352,14938,88678
1724,Lowndes County,Georgia,1436160,403636,412004,620520
1725,Lowndes County,Mississippi,696146,180976,181094,334076
1726,Lubbock County,Texas,3810108,1612320,1661178,536610
1727,Lucas County,Iowa,104432,52028,49520,2884
1728,Lucas County,Ohio,5142728,1849902,1922284,1370542
1729,Luce County,Michigan,75538,32400,27020,16118
1730,Lumpkin County,Georgia,412028,192296,196114,23618
1731,Luna County,New Mexico,306956,141464,139274,26218
1732,Lunenburg County,Virginia,144036,47234,43428,53374
1733,Luzerne County,Pennsylvania,3927958,1700416,1736902,490640
1734,Lycoming County,Pennsylvania,1363280,615988,628952,118340
1735,Lyman County,South Dakota,44666,13864,11896,18906
1736,Lynchburg city,Virginia,953004,297316,330560,325128
1737,Lynn County,Texas,68704,32716,30598,5390
1738,Lyon County,Iowa,145476,71782,68894,4800
1739,Lyon County,Kansas,386210,170844,178902,36464
1740,Lyon County,Kentucky,106366,54000,42058,10308
1741,Lyon County,Minnesota,306070,134702,136648,34720
1742,Lyon County,Nevada,735270,337884,314472,82914
1743,Mackinac County,Michigan,131220,49480,47312,34428
1744,Macomb County,Michigan,10560994,4099292,4176190,2285512
1745,Macon County,Alabama,225974,20730,19734,185510
1746,Macon County,Georgia,142798,28530,23438,90830
1747,Macon County,Illinois,1226478,452876,484072,289530
1748,Macon County,Missouri,182052,85738,85876,10438
1749,Macon County,North Carolina,453438,208952,220264,24222
1750,Macon County,Tennessee,312830,146080,150962,15788
1751,Macoupin County,Illinois,533574,255426,259910,18238
1752,Madera County,California,1921910,808550,830224,283136
1753,Madison County,Alabama,4833494,1661606,1643962,1527926
1754,Madison County,Arkansas,206358,96952,95850,13556
1755,Madison County,Florida,216832,68350,62442,86040
1756,Madison County,Georgia,375534,158488,161498,55548
1757,Madison County,Idaho,652002,274848,334642,42512
1758,Madison County,Illinois,3174324,1354168,1398004,422152
1759,Madison County,Indiana,1579218,690982,695946,192290
1760,Madison County,Iowa,202350,98440,97400,6510
1761,Madison County,Kentucky,1143088,510420,534962,97706
1762,Madison County,Mississippi,1334726,375424,390340,568962
1763,Madison County,Missouri,152538,73268,72540,6730
1764,Madison County,Montana,109478,55148,49740,4590
1765,Madison County,Nebraska,426496,196538,196624,33334
1766,Madison County,New York,809340,378388,384292,46660
1767,Madison County,North Carolina,261066,123112,126762,11192
1768,Madison County,Ohio,531930,250210,225882,55838
1769,Madison County,Tennessee,1190618,336622,355652,498344
1770,Madison County,Texas,163404,68402,56214,38788
1771,Madison County,Virginia,168120,71058,75530,21532
1772,Madison Parish,Louisiana,115144,20564,20052,74528
1773,Magoffin County,Kentucky,136758,67384,66860,2514
1774,Mahaska County,Iowa,264590,126686,122812,15092
1775,Mahnomen County,Minnesota,64414,15398,14504,34512
1776,Mahoning County,Ohio,2722134,1076790,1104912,540432
1777,Major County,Oklahoma,91844,41442,42226,8176
1778,Malheur County,Oregon,382678,189558,161198,31922
1779,Manassas Park city,Virginia,202420,72092,65308,65020
1780,Manassas city,Virginia,515302,191136,183964,140202
1781,Manatee County,Florida,5097348,2120426,2237282,739640
1782,Manistee County,Michigan,303562,140008,138176,25378
1783,Manitowoc County,Wisconsin,976824,458424,451436,66964
1784,Marathon County,Wisconsin,1660156,753966,741510,164680
1785,Marengo County,Alabama,227162,51662,53166,122334
1786,Maricopa County,Arizona,54448110,22118408,22288676,10041026
1787,Maries County,Missouri,101354,49120,48056,4178
1788,Marin County,California,3104338,1293874,1333710,476754
1789,Marinette County,Wisconsin,504226,246962,239130,18134
1790,Marion County,Alabama,350508,161738,166160,22610
1791,Marion County,Arkansas,205920,97734,98402,9784
1792,Marion County,Florida,4752588,1874682,2001208,876698
1793,Marion County,Georgia,90092,28630,28846,32616
1794,Marion County,Illinois,445480,202074,209280,34126
1795,Marion County,Indiana,11712502,3596028,3706304,4410170
1796,Marion County,Iowa,403258,193888,192652,16718
1797,Marion County,Kansas,141190,67190,67112,6888
1798,Marion County,Kentucky,236650,105838,106876,23936
1799,Marion County,Mississippi,290812,94360,98550,97902
1800,Marion County,Missouri,341632,151960,160172,29500
1801,Marion County,Ohio,780912,363386,338476,79050
1802,Marion County,Oregon,4184246,1837658,1827826,518762
1803,Marion County,South Carolina,344996,67894,70762,206340
1804,Marion County,Tennessee,350242,160624,164264,25354
1805,Marion County,Texas,117052,43202,44158,29692
1806,Marion County,West Virginia,671506,311330,317690,42486
1807,Mariposa County,California,205072,92200,90216,22656
1808,Marlboro County,South Carolina,313088,66602,61600,184886
1809,Marquette County,Michigan,804208,377626,373272,53310
1810,Marquette County,Wisconsin,188616,93798,87658,7160
1811,Marshall County,Alabama,1192700,543128,557320,92252
1812,Marshall County,Illinois,139958,67768,67264,4926
1813,Marshall County,Indiana,555010,268322,265984,20704
1814,Marshall County,Iowa,481336,217394,216036,47906
1815,Marshall County,Kansas,119994,58556,56764,4674
1816,Marshall County,Kentucky,380748,184946,186432,9370
1817,Marshall County,Minnesota,107174,53122,50374,3678
1818,Marshall County,Mississippi,407294,107312,104516,195466
1819,Marshall County,Oklahoma,188520,74490,74692,39338
1820,Marshall County,South Dakota,52038,23960,21378,6700
1821,Marshall County,Tennessee,429136,190248,195928,42960
1822,Marshall County,West Virginia,359886,176224,172440,11222
1823,Martin County,Florida,1938620,857980,880038,200602
1824,Martin County,Indiana,117926,58768,56012,3146
1825,Martin County,Kentucky,132840,62714,57436,12690
1826,Martin County,Minnesota,237866,114232,114358,9276
1827,Martin County,North Carolina,260516,69554,74280,116682
1828,Martin County,Texas,62674,29196,28590,4888
1829,Martinsville city,Virginia,163540,38386,41834,83320
1830,Mason County,Illinois,153626,73754,74938,4934
1831,Mason County,Kentucky,203814,88634,93796,21384
1832,Mason County,Michigan,350182,165462,167068,17652
1833,Mason County,Texas,47448,23340,22222,1886
1834,Mason County,Washington,811260,364004,339456,107800
1835,Mason County,West Virginia,301352,141292,150552,9508
1836,Massac County,Illinois,166996,72162,77484,17350
1837,Matagorda County,Texas,435802,182340,180510,72952
1839,Mathews County,Virginia,102470,44160,45658,12652
1841,Maury County,Tennessee,1279854,525768,548844,205242
1842,Maverick County,Texas,696578,331792,336484,28302
1843,Mayes County,Oklahoma,474118,156062,155300,162756
1844,McClain County,Oklahoma,536046,225936,227566,82544
1845,McCone County,Montana,20558,10252,9422,884
1846,McCook County,South Dakota,68874,33576,32424,2874
1847,McCormick County,South Carolina,116658,34874,32274,49510
1848,McCracken County,Kentucky,811392,334208,352534,124650
1849,McCreary County,Kentucky,202440,95618,89372,17450
1850,McCulloch County,Texas,90396,41744,42010,6642
1851,McCurtain County,Oklahoma,370258,115618,119172,135468
1852,McDonald County,Missouri,283604,121914,120086,41604
1853,McDonough County,Illinois,323702,143044,145658,35000
1854,McDowell County,North Carolina,537338,246562,246712,44064
1855,McDowell County,West Virginia,217670,101328,91556,24786
1856,McDuffie County,Georgia,260448,69190,76188,115070
1857,McHenry County,Illinois,3746492,1736144,1725242,285106
1858,McHenry County,North Dakota,62742,31504,28812,2426
1859,McIntosh County,Georgia,135068,43066,44404,47598
1860,McIntosh County,North Dakota,30042,14384,14472,1186
1861,McIntosh County,Oklahoma,231888,78534,80806,72548
1862,McKean County,Pennsylvania,479912,231160,225346,23406
1863,McKenzie County,North Dakota,172614,77722,67582,27310
1864,McKinley County,New Mexico,850106,62038,61486,726582
1865,McLean County,Illinois,2058042,828706,873074,356262
1866,McLean County,Kentucky,109436,52796,53024,3616
1867,McLean County,North Dakota,117780,54220,51352,12208
1868,McLennan County,Texas,3181830,1247916,1277962,655952
1869,McLeod County,Minnesota,441510,213396,211390,16724
1870,McMinn County,Tennessee,655388,296310,308418,50660
1871,McMullen County,Texas,7008,3346,3092,570
1872,McNairy County,Tennessee,311410,139174,144048,28188
1873,McPherson County,Kansas,362494,168890,173372,20232
1874,McPherson County,Nebraska,4604,2278,2238,88
1875,McPherson County,South Dakota,28550,13804,13780,966
1876,Meade County,Kansas,47662,23212,21662,2788
1877,Meade County,Kentucky,361592,168042,164216,29334
1878,Meade County,South Dakota,365158,171630,156600,36928
1879,Meagher County,Montana,23924,11948,11080,896
1880,Mecklenburg County,North Carolina,13777878,3886730,3953162,5937986
1881,Mecklenburg County,Virginia,365786,112036,117552,136198
1882,Mecosta County,Michigan,493110,231234,227186,34690
1883,Medina County,Ohio,2201524,1040810,1053348,107366
1884,Medina County,Texas,637182,301800,285384,49998
1885,Meeker County,Minnesota,281474,140804,132426,8244
1886,Meigs County,Ohio,263366,127798,127780,7788
1887,Meigs County,Tennessee,158942,75426,75168,8348
1888,Mellette County,South Dakota,22574,4440,4244,13890
1889,Menard County,Illinois,145546,68800,71554,5192
1890,Menard County,Texas,23482,10922,11010,1550
1891,Mendocino County,California,1085616,462928,467940,154748
1892,Menifee County,Kentucky,74528,36086,36124,2318
1893,Menominee County,Michigan,279466,135308,126728,17430
1894,Menominee County,Wisconsin,51020,3390,3776,43854
1895,Merced County,California,3466908,1431234,1394656,641018
1896,Mercer County,Illinois,186342,90712,90208,5422
1897,Mercer County,Kentucky,275564,126146,130448,18970
1898,Mercer County,Missouri,41894,20138,20112,1644
1899,Mercer County,New Jersey,4633310,1435690,1439884,1757736
1900,Mercer County,North Dakota,100080,48424,45388,6268
1901,Mercer County,Ohio,509892,248714,242070,19108
1902,Mercer County,Pennsylvania,1313884,591462,605558,116864
1903,Mercer County,West Virginia,704934,309286,330438,65210
1904,Meriwether County,Georgia,250538,72826,76172,101540
1905,Merrick County,Nebraska,92562,45034,43842,3686
1906,Merrimack County,New Hampshire,1867280,870624,879444,117212
1907,Mesa County,Colorado,1897418,881184,895578,120656
1908,Metcalfe County,Kentucky,124824,59816,59882,5126
1909,Miami County,Indiana,429044,206096,184802,38146
1910,Miami County,Kansas,417748,198902,197532,21314
1911,Miami County,Ohio,1320510,605776,618054,96680
1912,Miami-Dade County,Florida,32787062,12806208,13236626,6744228
1913,Middlesex County,Massachusetts,19647478,7403102,7608800,4635576
1914,Middlesex County,New Jersey,10439306,2989522,3050626,4399158
1915,Middlesex County,Virginia,129710,50870,53468,25372
1916,Midland County,Michigan,1004568,467190,474580,62798
1917,Midland County,Texas,2088686,922914,888802,276970
1918,Mifflin County,Pennsylvania,552690,264276,271374,17040
1919,Milam County,Texas,305166,131194,132210,41762
1920,Millard County,Utah,159114,76598,71916,10600
1921,Mille Lacs County,Minnesota,324172,149834,143714,30624
1922,Miller County,Arkansas,508788,180022,176500,152266
1923,Miller County,Georgia,70496,23754,24286,22456
1924,Miller County,Missouri,302148,144698,145086,12364
1925,Mills County,Iowa,174686,84504,84260,5922
1926,Mills County,Texas,54024,25832,25278,2914
1927,Milwaukee County,Wisconsin,11142282,3496784,3564912,4080586
1928,Miner County,South Dakota,27600,13832,12572,1196
1929,Mineral County,Colorado,10898,5354,5150,394
1930,Mineral County,Montana,58650,28398,26192,4060
1931,Mineral County,Nevada,54526,19128,18430,16968
1932,Mineral County,West Virginia,322424,151676,152634,18114
1933,Mingo County,West Virginia,272554,130252,132708,9594
1934,Minidoka County,Idaho,265250,125494,123664,16092
1935,Minnehaha County,South Dakota,2427328,1047990,1018058,361280
1936,Missaukee County,Michigan,182182,89030,85940,7212
1937,Mississippi County,Arkansas,472632,145830,143034,183768
1938,Mississippi County,Missouri,144160,53880,52474,37806
1939,Missoula County,Montana,1442574,663154,653898,125522
1940,Mitchell County,Georgia,254114,63952,62476,127686
1941,Mitchell County,Iowa,126868,62104,61458,3306
1942,Mitchell County,Kansas,69382,34212,32776,2394
1943,Mitchell County,North Carolina,179710,85038,86810,7862
1944,Mitchell County,Texas,108162,51574,36696,19892
1945,Mobile County,Alabama,4955516,1414582,1478922,2062012
1946,Modoc County,California,103396,44764,45064,13568
1947,Moffat County,Colorado,158658,77138,72254,9266
1948,Mohave County,Arizona,2631694,1215704,1183338,232652
1949,Moniteau County,Missouri,183564,88560,85046,9958
1950,Monmouth County,New Jersey,7740572,3222562,3326866,1191144
1951,Mono County,California,157874,75336,66280,16258
1952,Monona County,Iowa,103072,48428,50072,4572
1953,Monongalia County,West Virginia,1283278,589134,562998,131146
1954,Monroe County,Alabama,233412,62524,64908,105980
1955,Monroe County,Arkansas,79482,21250,22614,35618
1956,Monroe County,Florida,984342,451282,418808,114252
1957,Monroe County,Georgia,352552,131780,131466,89306
1958,Monroe County,Illinois,420268,205238,204094,10936
1959,Monroe County,Indiana,1691192,718974,728718,243500
1960,Monroe County,Iowa,90276,43752,43646,2878
1961,Monroe County,Kentucky,135362,65466,64284,5612
1962,Monroe County,Michigan,1864670,870900,878854,114916
1963,Monroe County,Mississippi,405810,133510,141042,131258
1964,Monroe County,Missouri,104680,50082,48044,6554
1965,Monroe County,New York,9056228,3374706,3526142,2155380
1966,Monroe County,Ohio,159048,78630,75862,4556
1967,Monroe County,Pennsylvania,2011780,767834,762446,481500
1968,Monroe County,Tennessee,569452,267484,270868,31100
1969,Monroe County,West Virginia,148622,71988,71022,5612
1970,Monroe County,Wisconsin,554612,265112,254532,34968
1971,Montague County,Texas,250482,117314,120680,12488
1972,Montcalm County,Michigan,811414,391416,360864,59134
1973,Monterey County,California,5258156,2226444,2126020,905692
1974,Montezuma County,Colorado,315814,130062,128104,57648
1975,Montgomery County,Alabama,2725090,458172,471848,1795070
1976,Montgomery County,Arkansas,102492,47784,47942,6766
1977,Montgomery County,Georgia,103600,37200,36608,29792
1978,Montgomery County,Illinois,336066,162882,154424,18760
1979,Montgomery County,Indiana,458994,223014,217262,18718
1980,Montgomery County,Iowa,122788,58380,60438,3970
1981,Montgomery County,Kansas,372372,156548,159190,56634
1982,Montgomery County,Kentucky,340146,157968,165410,16768
1983,Montgomery County,Maryland,12783644,3715852,3778770,5289022
1984,Montgomery County,Mississippi,115660,30126,31360,54174
1985,Montgomery County,Missouri,136892,65958,64636,6298
1986,Montgomery County,New York,594334,270692,275796,47846
1987,Montgomery County,North Carolina,311564,118112,121046,72406
1988,Montgomery County,Ohio,6435560,2273640,2365638,1796282
1989,Montgomery County,Pennsylvania,10388552,3988978,4136668,2262906
1990,Montgomery County,Tennessee,2781552,965422,954240,861890
1991,Montgomery County,Texas,8085458,3469934,3480172,1135352
1992,Montgomery County,Virginia,1190458,525786,498624,166048
1993,Montmorency County,Michigan,113470,56362,52892,4216
1994,Montour County,Pennsylvania,217322,98728,101842,16752
1995,Montrose County,Colorado,523422,243242,249066,31114
1996,Moody County,South Dakota,76642,30658,29980,16004
1997,Moore County,North Carolina,1248240,509784,528992,209464
1998,Moore County,Tennessee,79670,37386,37468,4816
1999,Moore County,Texas,256452,112746,109092,34614
2000,Mora County,New Mexico,49860,23648,22318,3894
2001,Morehouse Parish,Louisiana,296770,71738,73936,151096
2002,Morgan County,Alabama,1491616,610910,616506,264200
2003,Morgan County,Colorado,353420,161880,156466,35074
2004,Morgan County,Georgia,250982,94004,97218,59760
2005,Morgan County,Illinois,397344,175974,181902,39468
2006,Morgan County,Indiana,870152,419800,420188,30164
2007,Morgan County,Kentucky,167978,86480,69266,12232
2008,Morgan County,Missouri,259184,125384,122184,11616
2009,Morgan County,Ohio,164104,75822,75544,12738
2010,Morgan County,Tennessee,255678,128162,111582,15934
2011,Morgan County,Utah,152616,76628,71620,4368
2012,Morgan County,West Virginia,208390,101478,98196,8716
2013,Morrill County,Nebraska,54462,26464,24972,3026
2014,Morris County,Kansas,64186,30826,30266,3094
2015,Morris County,New Jersey,6163866,2503294,2543778,1116794
2016,Morris County,Texas,144700,50380,53638,40682
2017,Morrison County,Minnesota,410516,202786,195502,12228
2018,Morrow County,Ohio,423930,206376,203412,14142
2019,Morrow County,Oregon,147366,69236,66488,11642
2020,Morton County,Kansas,31514,14512,14406,2596
2021,Morton County,North Dakota,404352,186684,181158,36510
2022,Motley County,Texas,12546,5852,5838,856
2023,Moultrie County,Illinois,173310,83078,85528,4704
2024,Mountrail County,North Dakota,114686,38930,32986,42770
2025,Mower County,Minnesota,483504,208550,207222,67732
2026,Muhlenberg County,Kentucky,367772,175040,171490,21242
2027,Multnomah County,Oregon,9645562,3771556,3774662,2099344
2028,Murray County,Georgia,485566,227550,233834,24182
2029,Murray County,Minnesota,97302,46472,46186,4644
2030,Murray County,Oklahoma,165336,62676,61552,41108
2031,Muscatine County,Iowa,512092,237984,238174,35934
2032,Muscogee County,Georgia,2450948,532684,545692,1372572
2033,Muskegon County,Michigan,2109084,852132,855892,401060
2034,Muskingum County,Ohio,1036940,465268,487688,83984
2035,Muskogee County,Oklahoma,797126,229970,239340,327816
2036,Musselshell County,Montana,60824,29056,27566,4202
2037,Nacogdoches County,Texas,780960,297324,311266,172370
2038,Nance County,Nebraska,40000,19630,19208,1162
2039,Nantucket County,Massachusetts,173328,74212,71498,27618
2040,Napa County,California,1624722,679998,671774,272950
2041,Nash County,North Carolina,1152092,305882,312888,533322
2042,Nassau County,Florida,1159302,514298,527306,117698
2043,Nassau County,New York,16687524,5893020,6009472,4785032
2044,Natchitoches Parish,Louisiana,441966,117904,121600,202462
2045,Natrona County,Wyoming,959698,455700,444014,59984
2046,Naugatuck Valley Planning Region,Connecticut,5450026,2074258,2151534,1224234
2047,Navajo County,Arizona,1297584,339684,323844,634056
2048,Navarro County,Texas,652400,263440,266904,122056
2049,Nelson County,Kentucky,569510,259424,264078,46008
2050,Nelson County,North Dakota,36202,17696,16480,2026
2051,Nelson County,Virginia,176862,74452,75934,26476
2052,Nemaha County,Kansas,122142,60378,57280,4484
2053,Nemaha County,Nebraska,84612,40834,40020,3758
2054,Neosho County,Kansas,188364,88788,87810,11766
2055,Neshoba County,Mississippi,347516,98212,105200,144104
2056,Ness County,Kansas,31902,15142,15178,1582
2057,Nevada County,Arkansas,98220,32672,32834,32714
2058,Nevada County,California,1229278,564364,575312,89602
2059,New Castle County,Delaware,6921056,2137928,2213270,2569858
2060,New Hanover County,North Carolina,2803694,1109858,1203220,490616
2061,New Kent County,Virginia,296942,120700,116110,60132
2062,New Madrid County,Missouri,190166,73932,78968,37266
2063,New York County,New York,19684726,6041040,6390588,7253098
2064,Newaygo County,Michigan,607850,293040,285850,28960
2065,Newberry County,South Carolina,459804,151480,155746,152578
2066,Newport County,Rhode Island,1017854,449304,465558,102992
2067,Newport News city,Virginia,2214634,534464,518640,1161530
2068,Newton County,Arkansas,85574,41242,39706,4626
2069,Newton County,Georgia,1406582,308706,323358,774518
2070,Newton County,Indiana,166878,81662,78410,6806
2071,Newton County,Mississippi,253506,76484,78112,98910
2072,Newton County,Missouri,718478,320956,321856,75666
2073,Newton County,Texas,145368,57594,56384,31390
2074,Nez Perce County,Idaho,511156,228060,230268,52828
2075,Niagara County,New York,2532538,1083386,1116350,332802
2076,Nicholas County,Kentucky,92138,45146,44974,2018
2077,Nicholas County,West Virginia,291988,141574,142434,7980
2078,Nicollet County,Minnesota,413012,190058,186750,36204
2079,Niobrara County,Wyoming,28620,12320,14706,1594
2080,Noble County,Indiana,569886,276818,272282,20786
2081,Noble County,Ohio,171062,95264,66974,8824
2082,Noble County,Oklahoma,130814,52882,54662,23270
2083,Nobles County,Minnesota,264986,114664,109146,41176
2084,Nodaway County,Missouri,250202,117702,119068,13432
2085,Nolan County,Texas,174022,78418,78390,17214
2087,Norfolk County,Massachusetts,8752836,3212814,3395892,2144130
2088,Norfolk city,Virginia,2812022,739378,637578,1435066
2089,Norman County,Minnesota,76554,36274,34684,5596
2091,Northampton County,North Carolina,204258,41058,42280,120920
2092,Northampton County,Pennsylvania,3811718,1611472,1651474,548772
2093,Northampton County,Virginia,145138,45626,47716,51796
2094,Northeastern Connecticut Planning Region,Connecticut,1153806,531772,536376,85658
2095,Northumberland County,Pennsylvania,1088888,513322,513704,61862
2096,Northumberland County,Virginia,145546,52852,52796,39898
2098,Northwest Hills Planning Region,Connecticut,1357070,611764,617734,127572
2099,Norton County,Kansas,64498,33248,26094,5156
2100,Norton city,Virginia,43162,17722,20466,4974
2101,Nottoway County,Virginia,187260,57212,51248,78800
2102,Nowata County,Oklahoma,112994,37752,38026,37216
2103,Noxubee County,Mississippi,120800,15210,16838,88752
2104,Nuckolls County,Nebraska,49060,23482,23752,1826
2105,Nueces County,Texas,4236262,1894884,1926542,414836
2106,Nye County,Nevada,646616,289774,274420,82422
2107,O'Brien County,Iowa,169622,81956,79732,7934
2108,Oakland County,Michigan,15346990,5706750,5726026,3914214
2109,Obion County,Tennessee,366112,153748,161302,51062
2110,Ocean County,New Jersey,7818218,3508338,3698764,611116
2111,Oceana County,Michigan,322472,156320,150326,15826
2112,Ochiltree County,Texas,117884,55734,55370,6780
2113,Oconee County,Georgia,519122,224104,230964,64054
2114,Oconee County,South Carolina,961888,424484,432578,104826
2115,Oconto County,Wisconsin,473814,235220,218922,19672
2116,Ogemaw County,Michigan,250388,120620,119386,10382
2117,Oglala Lakota County,South Dakota,162254,7306,4696,150252
2118,Ogle County,Illinois,618644,295918,296976,25750
2119,Oglethorpe County,Georgia,184738,72686,73492,38560
2120,Ohio County,Indiana,71854,34832,34992,2030
2121,Ohio County,Kentucky,284882,137464,137138,10280
2122,Ohio County,West Virginia,500626,225594,238502,36530
2123,Okaloosa County,Florida,2589318,1060430,1021584,507304
2124,Okanogan County,Washington,518448,217528,204620,96300
2125,Okeechobee County,Florida,487436,221360,202246,63830
2126,Okfuskee County,Oklahoma,135408,45660,38802,50946
2127,Oklahoma County,Oklahoma,9655116,3343422,3389904,2921790
2128,Okmulgee County,Oklahoma,442396,142630,143032,156734
2129,Oktibbeha County,Mississippi,621274,186272,169120,265882
2130,Oldham County,Kentucky,827788,388940,367188,71660
2131,Oldham County,Texas,21262,10030,9068,2164
2132,Oliver County,North Dakota,22464,11328,10044,1092
2133,Olmsted County,Minnesota,1970678,790388,827790,352500
2134,Oneida County,Idaho,56806,27682,27230,1894
